Iterator=692, queue=1236, depth=5
Iterator=693, queue=1238, depth=5
Iterator=694, queue=1240, depth=5
Iterator=695, queue=1242, depth=3
Iterator=696, queue=1244, depth=1
Iterator=697, queue=1246, depth=3
Iterator=698, queue=1248, depth=1
Iterator=699, queue=1250, depth=3
Iterator=700, queue=1252, depth=1
Iterator=701, queue=1254, depth=1
Iterator=702, queue=1256, depth=3
Iterator=703, queue=1258, depth=3
Iterator=704, queue=1260, depth=3
Iterator=705, queue=1262, depth=1
Iterator=706, queue=1264, depth=3
Iterator=707, queue=1266, depth=5
Iterator=708, queue=1268, depth=5
Iterator=709, queue=1270, depth=5
Iterator=710, queue=1272, depth=5
Iterator=711, queue=1274, depth=3
Iterator=712, queue=1276, depth=1
Iterator=713, queue=1278, depth=3
Iterator=714, queue=1280, depth=1
Iterator=715, queue=1282, depth=3
Iterator=716, queue=1284, depth=1
Iterator=717, queue=1286, depth=1
Iterator=718, queue=1288, depth=3
Iterator=719, queue=1290, depth=3
Iterator=720, queue=1292, depth=3
Iterator=721, queue=1294, depth=1
Iterator=722, queue=1296, depth=3
Iterator=723, queue=1298, depth=5
Iterator=724, queue=1300, depth=5
Iterator=725, queue=1302, depth=5
Iterator=726, queue=1304, depth=5
Iterator=727, queue=1306, depth=3
Iterator=728, queue=1308, depth=1
Iterator=729, queue=1310, depth=3
Iterator=730, queue=1312, depth=1
Iterator=731, queue=1314, depth=3
Iterator=732, queue=1316, depth=1
Iterator=733, queue=1318, depth=1
Iterator=734, queue=1320, depth=3
Iterator=735, queue=1322, depth=3
Iterator=736, queue=1324, depth=3
Iterator=737, queue=1326, depth=1
Iterator=738, queue=1328, depth=3
Iterator=739, queue=1330, depth=1
Iterator=740, queue=1332, depth=3
Iterator=741, queue=1334, depth=3
Iterator=742, queue=1336, depth=3
Iterator=743, queue=1338, depth=1
Iterator=744, queue=1340, depth=1
Iterator=745, queue=1342, depth=1
Iterator=746, queue=1344, depth=3
Iterator=747, queue=1346, depth=3
Iterator=748, queue=1348, depth=3
Iterator=749, queue=1350, depth=1
Iterator=750, queue=1352, depth=5
Iterator=751, queue=1354, depth=3
Iterator=752, queue=1356, depth=5
Iterator=753, queue=1358, depth=3
Iterator=754, queue=1360, depth=3
Iterator=755, queue=1362, depth=3
Iterator=756, queue=1364, depth=3
Iterator=757, queue=1366, depth=1
Iterator=758, queue=1368, depth=5
Iterator=759, queue=1370, depth=3
Iterator=760, queue=1372, depth=5
Iterator=761, queue=1374, depth=3
Iterator=762, queue=1376, depth=3
Iterator=763, queue=1378, depth=5
Iterator=764, queue=1380, depth=3
Iterator=765, queue=1382, depth=5
Iterator=766, queue=1384, depth=3
Iterator=767, queue=1386, depth=3
Iterator=768, queue=1388, depth=3
Iterator=769, queue=1390, depth=1
Iterator=770, queue=1392, depth=1
Iterator=771, queue=1394, depth=3
Iterator=772, queue=1396, depth=1
Iterator=773, queue=1398, depth=1
Iterator=774, queue=1400, depth=3
Iterator=775, queue=1402, depth=3
Iterator=776, queue=1404, depth=3
Iterator=777, queue=1406, depth=1
Iterator=778, queue=1408, depth=3
Iterator=779, queue=1410, depth=1
Iterator=780, queue=1412, depth=3
Iterator=781, queue=1414, depth=3
Iterator=782, queue=1416, depth=5
Iterator=783, queue=1418, depth=3
Iterator=784, queue=1420, depth=5
Iterator=785, queue=1422, depth=3
Iterator=786, queue=1424, depth=3
Iterator=787, queue=1426, depth=1
Iterator=788, queue=1428, depth=3
Iterator=789, queue=1430, depth=3
Iterator=790, queue=1432, depth=3
Iterator=791, queue=1434, depth=1
Iterator=792, queue=1436, depth=1
Iterator=793, queue=1438, depth=1
Iterator=794, queue=1440, depth=3
Iterator=795, queue=1442, depth=5
Iterator=796, queue=1444, depth=3
Iterator=797, queue=1446, depth=5
Iterator=798, queue=1448, depth=3
Iterator=799, queue=1450, depth=1
Iterator=800, queue=1452, depth=3
Iterator=801, queue=1454, depth=3
Iterator=802, queue=1456, depth=3
Iterator=803, queue=1458, depth=5
Iterator=804, queue=1460, depth=3
Iterator=805, queue=1462, depth=5
Iterator=806, queue=1464, depth=3
Iterator=807, queue=1466, depth=1
Iterator=808, queue=1468, depth=3
