Enter value for shuffling:you string is123875460Iterator=1, queue=1, depth=0
Iterator=613, queue=10, depth=9
Iterator=614, queue=11, depth=9
Iterator=615, queue=9, depth=9
Iterator=616, queue=8, depth=9
Iterator=617, queue=9, depth=8
Iterator=618, queue=7, depth=7
Iterator=619, queue=7, depth=7
Iterator=620, queue=8, depth=8
Iterator=621, queue=8, depth=8
Iterator=622, queue=9, depth=9
Iterator=623, queue=11, depth=9
Iterator=624, queue=8, depth=9
Iterator=625, queue=8, depth=9
Iterator=626, queue=7, depth=8
Iterator=627, queue=9, depth=8
Iterator=628, queue=10, depth=9
Iterator=629, queue=10, depth=9
Iterator=630, queue=9, depth=9
Iterator=631, queue=9, depth=9
Iterator=632, queue=8, depth=9
Iterator=633, queue=9, depth=9
Iterator=634, queue=7, depth=9
Iterator=635, queue=8, depth=9
Iterator=636, queue=6, depth=4
Iterator=637, queue=7, depth=4
Iterator=638, queue=8, depth=5
Iterator=639, queue=8, depth=5
Iterator=640, queue=8, depth=6
Iterator=641, queue=8, depth=6
Iterator=642, queue=9, depth=7
Iterator=643, queue=11, depth=7
Iterator=644, queue=12, depth=8
Iterator=645, queue=12, depth=8
Iterator=646, queue=13, depth=9
Iterator=647, queue=13, depth=9
Iterator=648, queue=12, depth=9
Iterator=649, queue=14, depth=9
Iterator=650, queue=11, depth=8
Iterator=651, queue=11, depth=8
Iterator=652, queue=12, depth=9
Iterator=653, queue=12, depth=9
Iterator=654, queue=11, depth=9
Iterator=655, queue=13, depth=9
Iterator=656, queue=10, depth=8
Iterator=657, queue=11, depth=8
Iterator=658, queue=11, depth=9
Iterator=659, queue=12, depth=9
Iterator=660, queue=10, depth=9
Iterator=661, queue=10, depth=9
Iterator=662, queue=9, depth=8
Iterator=663, queue=10, depth=8
Iterator=664, queue=10, depth=9
Iterator=665, queue=10, depth=9
Iterator=666, queue=9, depth=9
Iterator=667, queue=9, depth=9
Iterator=668, queue=8, depth=7
Iterator=669, queue=8, depth=7
Iterator=670, queue=9, depth=8
Iterator=671, queue=9, depth=8
Iterator=672, queue=10, depth=9
Iterator=673, queue=12, depth=9
Iterator=674, queue=9, depth=9
Iterator=675, queue=9, depth=9
Iterator=676, queue=8, depth=8
Iterator=677, queue=10, depth=8
Iterator=678, queue=11, depth=9
Iterator=679, queue=11, depth=9
Iterator=680, queue=10, depth=9
Iterator=681, queue=10, depth=9
Iterator=682, queue=9, depth=9
Iterator=683, queue=10, depth=9
Iterator=684, queue=8, depth=9
Iterator=685, queue=9, depth=9
Iterator=686, queue=7, depth=5
Iterator=687, queue=7, depth=5
Iterator=688, queue=8, depth=6
